"neighbourhood_group","date","m2_price","inflation","HICP","population_density","listings_count","minimum_nights","nigth_price","availability_365","listing_reviews","number_of_reviews","reviews_per_month","hosts_count","Private_room","Entire_home","Hotel_room","Shared_room"
"Centro",2010-08-01,15.3,0.3,1.6,796,1,2,114,305,1,155,0.9,1,0,1,0,0
"Centro",2011-01-01,15.6,-0.7,3,800,1,2,114,305,1,155,0.9,1,0,1,0,0
"Centro",2011-02-01,15.4,0.1,3.4,800,4,7,184,44.25,4,100,0.5925,3,0,4,0,0
"Centro",2011-05-01,15,0,3.4,800,5,9.6,61,134.6,11,264.4,1.612,4,1,4,0,0
"Centro",2011-06-01,15,-0.1,3,800,5,5.4,135.333333333333,129.2,15,289.8,1.768,4,1,4,0,0
"Centro",2011-07-01,15,-0.5,3,800,5,3.6,117,190.8,21,284.8,1.73,5,1,4,0,0
"Centro",2011-08-01,15,0.1,2.7,800,6,3.5,67.25,157,8,302.666666666667,1.84833333333333,5,2,4,0,0
"Centro",2011-09-01,14.9,0.2,3,800,7,7.71428571428571,100.5,150.714285714286,22,334.428571428571,2.07285714285714,7,2,5,0,0
"Centro",2011-10-01,14.9,0.8,3,800,16,7.625,105.916666666667,157.0625,32,242.5625,1.50625,13,3,13,0,0
"Centro",2011-11-01,15,0.4,2.9,800,13,6.61538461538461,112.2,150.461538461538,28,307.384615384615,1.91692307692308,13,2,11,0,0
"Centro",2011-12-01,15,0.1,2.3,800,8,6.875,108,148.875,26,357.5,2.23875,8,2,6,0,0
"Chamberí",2011-10-01,14.3,0.8,3,800,2,2,100,7,4,244.5,1.53,1,0,2,0,0
"Hortaleza",2011-11-01,11.5,0.4,2.9,800,1,2,75,331,1,203,1.3,1,1,0,0,0
"Villaverde",2011-07-01,9,-0.5,3,800,1,1,24,0,2,97,0.6,1,1,0,0,0
"Villaverde",2011-08-01,8.9,0.1,2.7,800,1,1,24,0,1,97,0.6,1,1,0,0,0
"Villaverde",2011-09-01,8.8,0.2,3,800,1,1,24,0,3,97,0.6,1,1,0,0,0
"Villaverde",2011-10-01,8.6,0.8,3,800,1,1,24,0,3,97,0.6,1,1,0,0,0
"Villaverde",2011-12-01,8.8,0.1,2.3,800,1,1,24,0,1,97,0.6,1,1,0,0,0
"Centro",2012-01-01,15,-1.1,2,799,13,6.76923076923077,99,133.615384615385,33,274.538461538462,1.72307692307692,13,3,10,0,0
"Centro",2012-02-01,14.7,0.1,1.9,799,11,6.36363636363636,98,195.909090909091,27,349.454545454545,2.19454545454545,11,3,8,0,0
"Centro",2012-03-01,14.6,0.7,1.8,799,13,5.84615384615385,104,164,45,317.615384615385,1.99153846153846,13,3,10,0,0
"Centro",2012-04-01,14.4,1.4,2,799,21,7.04761904761905,101.823529411765,159.428571428571,58,281.142857142857,1.78619047619048,20,3,18,0,0
"Centro",2012-05-01,14.3,-0.1,1.9,799,27,7,107.636363636364,163.222222222222,81,249.296296296296,1.59777777777778,26,4,23,0,0
"Centro",2012-06-01,14.2,-0.2,1.8,799,22,10.0454545454545,96.2,173.363636363636,74,315.636363636364,2.03545454545455,22,3,19,0,0
"Centro",2012-07-01,14.1,-0.2,2.2,799,26,5.76923076923077,101,202.461538461538,73,298.230769230769,1.93615384615385,26,4,22,0,0
"Centro",2012-08-01,14.1,0.6,2.7,799,26,9.26923076923077,90.8181818181818,149.730769230769,72,352.769230769231,2.29846153846154,25,5,21,0,0
"Centro",2012-09-01,14,1,3.5,799,38,6.78947368421053,100.290322580645,159.131578947368,97,308.894736842105,2.02552631578947,36,6,32,0,0
"Centro",2012-10-01,14,0.8,3.5,799,48,10.0416666666667,107.139534883721,173.625,133,307.291666666667,2.036875,46,6,42,0,0
"Centro",2012-11-01,13.9,-0.1,3,799,43,10.1627906976744,107.794871794872,161.023255813953,107,335.860465116279,2.24,41,7,36,0,0
"Centro",2012-12-01,13.8,0.1,3,799,36,8.86111111111111,101.121212121212,175.722222222222,72,341.5,2.27305555555556,36,5,31,0,0
"Arganzuela",2012-08-01,11.5,0.6,2.7,799,1,5,33,41,1,150,1.02,1,1,0,0,0
"Arganzuela",2012-09-01,11.5,1,3.5,799,1,5,33,41,1,150,1.02,1,1,0,0,0
"Arganzuela",2012-12-01,11.2,0.1,3,799,1,5,33,41,1,150,1.02,1,1,0,0,0
"Retiro",2012-04-01,12.6,1.4,2,799,1,2,124,104,1,261,1.72,1,0,1,0,0
"Retiro",2012-05-01,12.6,-0.1,1.9,799,1,2,124,104,3,261,1.72,1,0,1,0,0
"Retiro",2012-07-01,12.3,-0.2,2.2,799,1,2,124,104,1,261,1.72,1,0,1,0,0
"Retiro",2012-09-01,12.2,1,3.5,799,1,2,124,104,2,261,1.72,1,0,1,0,0
"Retiro",2012-10-01,12.2,0.8,3.5,799,2,16,124.5,79.5,4,220.5,1.48,2,0,2,0,0
"Retiro",2012-11-01,12,-0.1,3,799,1,2,124,104,3,261,1.72,1,0,1,0,0
"Retiro",2012-12-01,12,0.1,3,799,2,16,124.5,79.5,2,220.5,1.48,2,0,2,0,0
"Salamanca",2012-04-01,14.2,1.4,2,799,2,3.5,30,70.5,2,151,0.98,2,1,1,0,0
"Salamanca",2012-05-01,14.2,-0.1,1.9,799,2,17.5,149,111,4,73.5,0.465,2,0,2,0,0
"Salamanca",2012-06-01,14,-0.2,1.8,799,1,4,30,141,1,197,1.31,1,1,0,0,0
"Salamanca",2012-07-01,14.1,-0.2,2.2,799,3,13,89.5,121,5,114.666666666667,0.746666666666667,3,1,2,0,0
"Salamanca",2012-08-01,14.1,0.6,2.7,799,1,4,30,141,1,197,1.31,1,1,0,0,0
"Salamanca",2012-11-01,14,-0.1,3,799,1,4,30,141,1,197,1.31,1,1,0,0,0
"Chamberí",2012-06-01,14.1,-0.2,1.8,799,2,2.5,135,49.5,3,274,1.765,2,0,2,0,0
"Chamberí",2012-09-01,13.9,1,3.5,799,2,2.5,135,49.5,4,274,1.765,2,0,2,0,0
"Chamberí",2012-10-01,13.7,0.8,3.5,799,2,14,135,49.5,3,133,0.9,2,1,1,0,0
"Chamberí",2012-11-01,13.6,-0.1,3,799,1,3,135,99,1,236,1.59,1,0,1,0,0
"Chamberí",2012-12-01,13.4,0.1,3,799,1,3,135,99,1,236,1.59,1,0,1,0,0
"Latina",2012-09-01,9.3,1,3.5,799,1,3,30,50,2,260,1.78,1,1,0,0,0
"Latina",2012-10-01,9.2,0.8,3.5,799,1,3,30,50,2,260,1.78,1,1,0,0,0
"Latina",2012-11-01,9.1,-0.1,3,799,2,3.5,30.5,92.5,3,143,0.98,2,2,0,0,0
"Carabanchel",2012-08-01,9.3,0.6,2.7,799,1,2,24,0,1,19,0.13,1,1,0,0,0
"Carabanchel",2012-09-01,9.2,1,3.5,799,1,2,24,0,1,19,0.13,1,1,0,0,0
"Carabanchel",2012-10-01,9.2,0.8,3.5,799,1,2,24,0,2,19,0.13,1,1,0,0,0
"Carabanchel",2012-11-01,9.2,-0.1,3,799,1,2,24,0,1,19,0.13,1,1,0,0,0
"Usera",2012-09-01,8.6,1,3.5,799,1,4,45,298,1,87,0.6,1,1,0,0,0
"Hortaleza",2012-02-01,11.3,0.1,1.9,799,1,2,75,331,1,203,1.3,1,1,0,0,0
"Hortaleza",2012-04-01,11.4,1.4,2,799,1,3,260,290,1,136,0.9,1,0,1,0,0
"Hortaleza",2012-05-01,11.2,-0.1,1.9,799,2,2.5,167.5,310.5,4,169.5,1.1,2,1,1,0,0
"Hortaleza",2012-06-01,11,-0.2,1.8,799,2,2.5,167.5,310.5,3,169.5,1.1,2,1,1,0,0
